REF_DATE,GEO,Employment,Labour force,Unemployment,Employment rate,Unemployment rate
1976-01,Alberta,231800,252300,20500,64,8.1
1976-01,Alberta,802400,837500,35000,69.5,4.2
1976-01,Alberta,819500,856500,37000,64.2,4.3
1976-01,Alberta,491400,505800,14400,74.3,2.8
1976-01,Alberta,587700,604200,16500,64.3,2.7
1976-01,Alberta,96300,98400,2100,38.1,2.1
1976-01,British Columbia,257500,300200,42700,55.1,14.2
1976-01,British Columbia,1015500,1108500,93000,62.3,8.4
1976-01,British Columbia,1029700,1125400,95800,55.6,8.5
1976-01,British Columbia,652300,699700,47400,69.4,6.8
1976-01,British Columbia,772200,825200,53100,55.7,6.4
1976-01,British Columbia,119800,125500,5600,26.9,4.5
1976-01,Canada,999200,1178900,179700,42.9,15.2
1976-01,Canada,2499600,2849400,349800,55.4,12.3
1976-01,Canada,9465600,10185000,719400,63,7.1
1976-01,Canada,9636700,10369700,733000,57.2,7.1
1976-01,Canada,1500400,1670500,170100,68.8,10.2
1976-01,Canada,5999300,6332800,333500,69.6,5.3
1976-01,Canada,7137000,7520300,383200,57.8,5.1
1976-01,Canada,955600,999700,44100,50.6,4.4
1976-01,Canada,1137700,1187500,49800,30.6,4.2
1976-01,Manitoba,116300,130400,14100,60.9,10.8
1976-01,Manitoba,418600,442500,23900,65.8,5.4
1976-01,Manitoba,427400,452800,25300,58.3,5.6
1976-01,Manitoba,250800,259700,8900,71.2,3.4
1976-01,Manitoba,311200,322400,11200,57.4,3.5
1976-01,Manitoba,60400,62700,2300,31.9,3.7
1976-01,New Brunswick,64800,77400,12600,46.7,16.3
1976-01,New Brunswick,227100,255700,28700,54.1,11.2
1976-01,New Brunswick,229600,258700,29100,48.2,11.2
1976-01,New Brunswick,137100,152200,15100,60.6,9.9
1976-01,New Brunswick,164900,181300,16400,48.8,9
1976-01,New Brunswick,27800,29100,1300,24.8,4.5
1976-01,Newfoundland and Labrador,49300,60200,10900,42.4,18.1
1976-01,Newfoundland and Labrador,161200,183100,21900,48.4,12
1976-01,Newfoundland and Labrador,162400,185100,22700,44.2,12.3
1976-01,Newfoundland and Labrador,97900,108900,11000,54.9,10.1
1976-01,Newfoundland and Labrador,113100,124800,11800,45,9.5
1976-01,Newfoundland and Labrador,15200,15900,700,20.8,4.4
1976-01,Nova Scotia,82400,96100,13700,51.8,14.3
1976-01,Nova Scotia,297300,322800,25500,58.6,7.9
1976-01,Nova Scotia,303000,328900,25900,52,7.9
1976-01,Nova Scotia,179300,189100,9800,65.2,5.2
1976-01,Nova Scotia,220600,232800,12200,52,5.2
1976-01,Nova Scotia,41200,43600,2400,27.7,5.5
1976-01,Ontario,916200,1028200,112000,58,10.9
1976-01,Ontario,3637900,3884900,247000,66.6,6.4
1976-01,Ontario,3707400,3960000,252700,60.4,6.4
1976-01,Ontario,2338100,2461500,123400,73.1,5
1976-01,Ontario,2791200,2931900,140700,61.2,4.8
1976-01,Ontario,453100,470400,17300,33.4,3.7
1976-01,Prince Edward Island,11200,13700,2500,49.1,18.2
1976-01,Prince Edward Island,41600,46000,4500,59.5,9.8
1976-01,Prince Edward Island,42700,47400,4700,52,9.9
1976-01,Prince Edward Island,24700,26200,1500,66.9,5.7
1976-01,Prince Edward Island,31500,33700,2200,53.1,6.5
1976-01,Prince Edward Island,6800,7500,600,30.4,8
1976-01,Quebec,666600,778900,112300,51.2,14.4
1976-01,Quebec,2506400,2731700,225300,59,8.2
1976-01,Quebec,2545400,2770700,225300,54.2,8.1
1976-01,Quebec,1619800,1716500,96700,66,5.6
1976-01,Quebec,1878900,1991900,113000,55.3,5.7
1976-01,Quebec,259100,275400,16300,27.5,5.9
1976-01,Saskatchewan,103500,112000,8500,59.9,7.6
1976-01,Saskatchewan,357500,372200,14700,64.4,3.9
1976-01,Saskatchewan,369500,384100,14600,57,3.8
1976-01,Saskatchewan,207900,213100,5200,70.4,2.4
1976-01,Saskatchewan,266000,272100,6100,56,2.2
1976-01,Saskatchewan,58100,59000,1000,32.3,1.7
1976-02,Alberta,238300,255800,17500,65.2,6.8
1976-02,Alberta,814400,844100,29700,70.1,3.5
1976-02,Alberta,830700,862700,32000,64.6,3.7
1976-02,Alberta,496600,509400,12800,74.6,2.5
1976-02,Alberta,592400,606900,14500,64.4,2.4
1976-02,Alberta,95800,97600,1700,37.7,1.7
1976-02,British Columbia,262500,304200,41700,56.1,13.7
1976-02,British Columbia,1028300,1119900,91600,63,8.2
1976-02,British Columbia,1041600,1136700,95200,56.1,8.4
1976-02,British Columbia,661200,707000,45700,70.2,6.5
1976-02,British Columbia,779000,832500,53500,56.1,6.4
1976-02,British Columbia,117800,125500,7800,26.4,6.2
1976-02,Canada,1000500,1177800,177300,42.9,15.1
1976-02,Canada,2509100,2857100,348100,55.5,12.2
1976-02,Canada,9492200,10199300,707100,63.1,6.9
1976-02,Canada,9659800,10389800,730000,57.2,7
1976-02,Canada,1508600,1679300,170700,69,10.2
1976-02,Canada,6018000,6350400,332400,69.7,5.2
1976-02,Canada,7150700,7532600,381900,57.8,5.1
1976-02,Canada,953000,994600,41600,50.4,4.2
1976-02,Canada,1132700,1182200,49500,30.3,4.2
1976-02,Manitoba,119100,128300,9100,62.4,7.1
1976-02,Manitoba,417500,438900,21400,65.6,4.9
1976-02,Manitoba,425400,447300,22000,58,4.9
1976-02,Manitoba,249000,258900,9900,70.6,3.8
1976-02,Manitoba,306300,319100,12800,56.4,4
1976-02,Manitoba,57300,60200,2900,30.2,4.8
1976-02,New Brunswick,63500,76400,12900,45.7,16.9
1976-02,New Brunswick,230500,258100,27600,54.8,10.7
1976-02,New Brunswick,232900,261300,28400,48.7,10.9
1976-02,New Brunswick,140300,154100,13800,61.9,9
1976-02,New Brunswick,169400,184800,15500,50,8.4
1976-02,New Brunswick,29100,30800,1700,25.9,5.5
1976-02,Newfoundland and Labrador,48600,59700,11100,41.8,18.6
1976-02,Newfoundland and Labrador,159800,183200,23400,47.9,12.8
1976-02,Newfoundland and Labrador,161100,184600,23500,43.7,12.7
1976-02,Newfoundland and Labrador,96800,108400,11500,54.2,10.6
1976-02,Newfoundland and Labrador,112500,124900,12400,44.6,9.9
1976-02,Newfoundland and Labrador,15700,16600,900,21.4,5.4
1976-02,Nova Scotia,82400,95600,13200,51.7,13.8
1976-02,Nova Scotia,293800,319100,25300,57.8,7.9
1976-02,Nova Scotia,300200,325800,25600,51.4,7.9
1976-02,Nova Scotia,177200,187500,10300,64.2,5.5
1976-02,Nova Scotia,217800,230100,12300,51.2,5.3
1976-02,Nova Scotia,40600,42600,2000,27.2,4.7
1976-02,Ontario,914500,1024000,109500,57.8,10.7
1976-02,Ontario,3642600,3879800,237200,66.6,6.1
1976-02,Ontario,3713400,3953600,240200,60.4,6.1
1976-02,Ontario,2348800,2463900,115200,73.3,4.7
1976-02,Ontario,2798900,2929600,130700,61.3,4.5
1976-02,Ontario,450100,465600,15500,33,3.3
1976-02,Prince Edward Island,11400,14300,2900,50,20.3
1976-02,Prince Edward Island,41400,46300,4900,59.1,10.6
1976-02,Prince Edward Island,42700,47900,5200,51.9,10.9
1976-02,Prince Edward Island,24700,26600,1900,66.8,7.1
1976-02,Prince Edward Island,31300,33600,2300,52.7,6.8
1976-02,Prince Edward Island,6600,7000,400,29.5,5.7
1976-02,Quebec,662600,782800,120200,50.9,15.4
1976-02,Quebec,2500400,2730400,230000,58.7,8.4
1976-02,Quebec,2536300,2778100,241800,53.9,8.7
1976-02,Quebec,1612400,1718000,105600,65.6,6.1
1976-02,Quebec,1873800,1995400,121600,55.1,6.1
1976-02,Quebec,261400,277300,16000,27.7,5.8
1976-02,Saskatchewan,106100,116000,9900,61.2,8.5
1976-02,Saskatchewan,363500,379600,16100,65.3,4.2
1976-02,Saskatchewan,375500,391700,16200,57.8,4.1
